1,2,2005-02-26,1,9
2,3,2005-02-26,1,17
3,4,2005-02-26,1,25
4,1,2005-02-26,1,1
5,5,2005-02-27,1,2
6,6,2005-02-27,1,10
7,7,2005-02-27,1,18
8,8,2005-02-28,1,3
9,9,2005-02-28,1,11
10,10,2005-02-28,1,19
11,12,2005-03-01,1,12
12,13,2005-03-01,1,20
13,11,2005-03-01,1,4
14,15,2005-03-02,1,13
15,16,2005-03-02,1,21
16,14,2005-03-02,1,5
17,17,2005-03-03,1,6
18,18,2005-03-03,1,7
19,19,2005-03-03,1,14
20,20,2005-03-03,1,15
21,21,2005-03-03,1,22
22,22,2005-03-03,1,23
23,24,2005-03-04,1,16
24,25,2005-03-04,1,24
25,23,2005-03-04,1,8
26,15,2005-03-16,1,13
27,16,2005-03-16,1,21
28,14,2005-03-16,1,5
29,17,2005-03-17,1,6
30,18,2005-03-17,1,7
31,19,2005-03-17,1,14
32,20,2005-03-17,1,15
33,21,2005-03-17,1,22
34,22,2005-03-17,1,23
35,24,2005-03-18,1,16
36,25,2005-03-18,1,24
37,23,2005-03-18,1,8
38,2,2005-03-26,1,9
39,3,2005-03-26,1,17
40,4,2005-03-26,1,25
41,1,2005-03-26,1,1
42,5,2005-03-27,1,2
43,6,2005-03-27,1,10
44,7,2005-03-27,1,18
45,8,2005-03-28,1,3
46,9,2005-03-28,1,11
47,10,2005-03-28,1,19
48,15,2005-03-30,1,13
49,16,2005-03-30,1,21
50,14,2005-03-30,1,5
51,17,2005-03-31,1,6
52,18,2005-03-31,1,7
53,19,2005-03-31,1,14
54,20,2005-03-31,1,15
55,21,2005-03-31,1,22
56,22,2005-03-31,1,23
57,24,2005-04-01,1,16
58,25,2005-04-01,1,24
59,23,2005-04-01,1,8
60,12,2005-04-01,1,12
61,13,2005-04-01,1,20
62,11,2005-04-01,1,4
63,15,2005-04-13,1,13
64,16,2005-04-13,1,21
65,14,2005-04-13,1,5
66,17,2005-04-14,1,6
67,18,2005-04-14,1,7
68,19,2005-04-14,1,14
69,20,2005-04-14,1,15
70,21,2005-04-14,1,22
71,22,2005-04-14,1,23
72,24,2005-04-15,1,16
73,25,2005-04-15,1,24
74,23,2005-04-15,1,8
75,2,2005-04-26,1,9
76,3,2005-04-26,1,17
77,4,2005-04-26,1,25
78,1,2005-04-26,1,1
79,15,2005-04-27,1,13
80,16,2005-04-27,1,21
81,14,2005-04-27,1,5
82,5,2005-04-27,1,2
83,6,2005-04-27,1,10
84,7,2005-04-27,1,18
85,17,2005-04-28,1,6
86,18,2005-04-28,1,7
87,19,2005-04-28,1,14
88,20,2005-04-28,1,15
89,21,2005-04-28,1,22
90,22,2005-04-28,1,23
91,8,2005-04-28,1,3
92,9,2005-04-28,1,11
93,10,2005-04-28,1,19
94,24,2005-04-29,1,16
95,25,2005-04-29,1,24
96,23,2005-04-29,1,8
97,12,2005-05-01,1,12
98,13,2005-05-01,1,20
99,11,2005-05-01,1,4
100,15,2005-05-11,1,13
101,16,2005-05-11,1,21
102,14,2005-05-11,1,5
103,17,2005-05-12,1,6
104,18,2005-05-12,1,7
105,19,2005-05-12,1,14
106,20,2005-05-12,1,15
107,21,2005-05-12,1,22
108,22,2005-05-12,1,23
109,24,2005-05-13,1,16
110,25,2005-05-13,1,24
111,23,2005-05-13,1,8
112,15,2005-05-25,1,13
113,16,2005-05-25,1,21
114,14,2005-05-25,1,5
115,17,2005-05-26,1,6
116,18,2005-05-26,1,7
117,19,2005-05-26,1,14
118,20,2005-05-26,1,15
119,21,2005-05-26,1,22
120,22,2005-05-26,1,23
121,2,2005-05-26,1,9
122,3,2005-05-26,1,17
123,4,2005-05-26,1,25
124,1,2005-05-26,1,1
125,24,2005-05-27,1,16
126,25,2005-05-27,1,24
127,23,2005-05-27,1,8
128,5,2005-05-27,1,2
129,6,2005-05-27,1,10
130,7,2005-05-27,1,18
131,8,2005-05-28,1,3
132,9,2005-05-28,1,11
133,10,2005-05-28,1,19
134,12,2005-06-01,1,12
135,13,2005-06-01,1,20
136,11,2005-06-01,1,4
137,15,2005-06-08,1,13
138,16,2005-06-08,1,21
139,14,2005-06-08,1,5
140,17,2005-06-09,1,6
141,18,2005-06-09,1,7
142,19,2005-06-09,1,14
143,20,2005-06-09,1,15
144,21,2005-06-09,1,22
145,22,2005-06-09,1,23
146,24,2005-06-10,1,16
147,25,2005-06-10,1,24
148,23,2005-06-10,1,8
149,15,2005-06-22,1,13
150,16,2005-06-22,1,21
151,14,2005-06-22,1,5
152,17,2005-06-23,1,6
153,18,2005-06-23,1,7
154,19,2005-06-23,1,14
155,20,2005-06-23,1,15
156,21,2005-06-23,1,22
157,22,2005-06-23,1,23
158,24,2005-06-24,1,16
159,25,2005-06-24,1,24
160,23,2005-06-24,1,8
161,2,2005-06-26,1,9
162,3,2005-06-26,1,17
163,4,2005-06-26,1,25
164,1,2005-06-26,1,1
165,5,2005-06-27,1,2
166,6,2005-06-27,1,10
167,7,2005-06-27,1,18
168,8,2005-06-28,1,3
169,9,2005-06-28,1,11
170,10,2005-06-28,1,19
171,12,2005-07-01,1,12
172,13,2005-07-01,1,20
173,11,2005-07-01,1,4
174,15,2005-07-06,1,13
175,16,2005-07-06,1,21
176,14,2005-07-06,1,5
177,17,2005-07-07,1,6
178,18,2005-07-07,1,7
179,19,2005-07-07,1,14
180,20,2005-07-07,1,15
181,21,2005-07-07,1,22
182,22,2005-07-07,1,23
183,24,2005-07-08,1,16
184,25,2005-07-08,1,24
185,23,2005-07-08,1,8
186,15,2005-07-20,1,13
187,16,2005-07-20,1,21
188,14,2005-07-20,1,5
189,17,2005-07-21,1,6
190,18,2005-07-21,1,7
191,19,2005-07-21,1,14
192,20,2005-07-21,1,15
193,21,2005-07-21,1,22
194,22,2005-07-21,1,23
195,24,2005-07-22,1,16
196,25,2005-07-22,1,24
197,23,2005-07-22,1,8
198,2,2005-07-26,1,9
199,3,2005-07-26,1,17
200,4,2005-07-26,1,25
201,1,2005-07-26,1,1
202,5,2005-07-27,1,2
203,6,2005-07-27,1,10
204,7,2005-07-27,1,18
205,8,2005-07-28,1,3
206,9,2005-07-28,1,11
207,10,2005-07-28,1,19
208,12,2005-08-01,1,12
209,13,2005-08-01,1,20
210,11,2005-08-01,1,4
211,15,2005-08-03,1,13
212,16,2005-08-03,1,21
213,14,2005-08-03,1,5
214,17,2005-08-04,1,6
215,18,2005-08-04,1,7
216,19,2005-08-04,1,14
217,20,2005-08-04,1,15
218,21,2005-08-04,1,22
219,22,2005-08-04,1,23
220,24,2005-08-05,1,16
221,25,2005-08-05,1,24
222,23,2005-08-05,1,8
223,15,2005-08-17,1,13
224,16,2005-08-17,1,21
225,14,2005-08-17,1,5
226,17,2005-08-18,1,6
227,18,2005-08-18,1,7
228,19,2005-08-18,1,14
229,20,2005-08-18,1,15
230,21,2005-08-18,1,22
231,22,2005-08-18,1,23
232,24,2005-08-19,1,16
233,25,2005-08-19,1,24
234,23,2005-08-19,1,8
235,2,2005-08-26,1,9
236,3,2005-08-26,1,17
237,4,2005-08-26,1,25
238,1,2005-08-26,1,1
239,5,2005-08-27,1,2
240,6,2005-08-27,1,10
241,7,2005-08-27,1,18
242,8,2005-08-28,1,3
243,9,2005-08-28,1,11
244,10,2005-08-28,1,19
245,15,2005-08-31,1,13
246,16,2005-08-31,1,21
247,14,2005-08-31,1,5
248,17,2005-09-01,1,6
249,18,2005-09-01,1,7
250,19,2005-09-01,1,14
251,20,2005-09-01,1,15
252,21,2005-09-01,1,22
253,22,2005-09-01,1,23
254,12,2005-09-01,1,12
255,13,2005-09-01,1,20
256,11,2005-09-01,1,4
257,24,2005-09-02,1,16
258,25,2005-09-02,1,24
259,23,2005-09-02,1,8
260,15,2005-09-14,1,13
261,16,2005-09-14,1,21
262,14,2005-09-14,1,5
263,17,2005-09-15,1,6
264,18,2005-09-15,1,7
265,19,2005-09-15,1,14
266,20,2005-09-15,1,15
267,21,2005-09-15,1,22
268,22,2005-09-15,1,23
269,24,2005-09-16,1,16
270,25,2005-09-16,1,24
271,23,2005-09-16,1,8
272,2,2005-09-26,1,9
273,3,2005-09-26,1,17
274,4,2005-09-26,1,25
275,1,2005-09-26,1,1
276,5,2005-09-27,1,2
277,6,2005-09-27,1,10
