1,9,1,2005-03-09,$35.00 
2,17,1,2005-03-20,$35.00 
3,25,1,2005-03-06,$35.00 
4,1,1,2005-03-18,$35.00 
5,2,1,2005-03-26,$35.00 
6,10,1,2005-03-18,$40.00 
7,18,1,2005-03-18,$35.00 
8,3,1,2005-03-02,$35.00 
9,11,1,2005-03-17,$35.00 
10,19,1,2005-03-19,$40.00 
11,12,1,2005-03-29,$35.00 
12,20,1,2005-03-20,$35.00 
13,4,1,2005-03-24,$40.00 
14,13,1,2005-03-31,$35.00 
15,21,1,2005-03-17,$35.00 
16,5,1,2005-03-31,$35.00 
17,6,1,2005-03-23,$40.00 
18,7,1,2005-03-13,$35.00 
19,14,1,2005-03-12,$35.00 
20,15,1,2005-03-09,$35.00 
21,22,1,2005-03-11,$40.00 
22,23,1,2005-03-25,$35.00 
23,16,1,2005-03-15,$35.00 
24,24,1,2005-03-06,$35.00 
25,8,1,2005-03-14,$35.00 
26,13,1,2005-04-05,$35.00 
27,21,1,2005-03-20,$35.00 
28,5,1,2005-03-29,$35.00 
29,6,1,2005-03-25,$40.00 
30,7,1,2005-04-12,$35.00 
31,14,1,2005-04-01,$35.00 
32,15,1,2005-04-05,$35.00 
33,22,1,2005-04-09,$40.00 
34,23,1,2005-03-25,$35.00 
35,16,1,2005-04-07,$35.00 
36,24,1,2005-04-05,$35.00 
37,8,1,2005-03-25,$35.00 
38,9,1,2005-03-27,$35.00 
39,17,1,2005-04-09,$35.00 
40,25,1,2005-04-06,$35.00 
41,1,1,2005-03-31,$35.00 
42,2,1,2005-03-30,$35.00 
43,10,1,2005-04-26,$40.00 
44,18,1,2005-04-03,$35.00 
45,3,1,2005-04-14,$35.00 
46,11,1,2005-04-18,$35.00 
47,19,1,2005-04-07,$40.00 
48,13,1,2005-04-11,$35.00 
49,21,1,2005-04-07,$35.00 
50,5,1,2005-04-13,$35.00 
51,6,1,2005-04-16,$40.00 
52,7,1,2005-04-11,$35.00 
53,14,1,2005-04-05,$35.00 
54,15,1,2005-04-20,$35.00 
55,22,1,2005-04-21,$40.00 
56,23,1,2005-04-29,$35.00 
57,16,1,2005-04-23,$35.00 
58,24,1,2005-04-18,$35.00 
59,8,1,2005-04-18,$35.00 
60,12,1,2005-04-15,$35.00 
61,20,1,2005-04-08,$35.00 
62,4,1,2005-05-02,$40.00 
63,13,1,2005-04-15,$35.00 
64,21,1,2005-04-24,$35.00 
65,5,1,2005-05-11,$35.00 
66,6,1,2005-04-16,$40.00 
67,7,1,2005-05-12,$35.00 
68,14,1,2005-05-15,$35.00 
69,15,1,2005-05-15,$35.00 
70,22,1,2005-05-06,$40.00 
71,23,1,2005-05-14,$35.00 
72,16,1,2005-05-14,$35.00 
73,24,1,2005-05-11,$35.00 
74,8,1,2005-05-09,$35.00 
75,9,1,2005-05-14,$35.00 
76,17,1,2005-05-26,$35.00 
77,25,1,2005-05-10,$35.00 
78,1,1,2005-05-18,$35.00 
79,13,1,2005-05-21,$35.00 
80,21,1,2005-05-19,$35.00 
81,5,1,2005-05-01,$35.00 
82,2,1,2005-05-09,$35.00 
83,10,1,2005-05-16,$40.00 
84,18,1,2005-05-15,$35.00 
85,6,1,2005-05-02,$40.00 
86,7,1,2005-05-02,$35.00 
87,14,1,2005-05-23,$35.00 
88,15,1,2005-05-19,$35.00 
89,22,1,2005-05-14,$40.00 
90,23,1,2005-05-21,$35.00 
91,3,1,2005-05-27,$35.00 
92,11,1,2005-05-20,$35.00 
93,19,1,2005-05-29,$40.00 
94,16,1,2005-05-06,$35.00 
95,24,1,2005-05-17,$35.00 
96,8,1,2005-05-23,$35.00 
97,12,1,2005-05-07,$35.00 
98,20,1,2005-05-28,$35.00 
99,4,1,2005-06-01,$40.00 
100,13,1,2005-05-29,$35.00 
101,21,1,2005-05-14,$35.00 
102,5,1,2005-05-27,$35.00 
103,6,1,2005-06-01,$40.00 
104,7,1,2005-05-18,$35.00 
105,14,1,2005-06-05,$35.00 
106,15,1,2005-06-12,$35.00 
107,22,1,2005-05-18,$40.00 
108,23,1,2005-05-19,$35.00 
109,16,1,2005-05-16,$35.00 
110,24,1,2005-05-23,$35.00 
111,8,1,2005-05-18,$35.00 
112,13,1,2005-06-24,$35.00 
113,21,1,2005-06-21,$35.00 
114,5,1,2005-06-17,$35.00 
115,6,1,2005-06-14,$40.00 
116,7,1,2005-06-14,$35.00 
117,14,1,2005-06-14,$35.00 
118,15,1,2005-05-27,$35.00 
119,22,1,2005-06-20,$40.00 
120,23,1,2005-06-08,$35.00 
121,9,1,2005-06-14,$35.00 
122,17,1,2005-06-03,$35.00 
123,25,1,2005-06-09,$35.00 
124,1,1,2005-06-08,$35.00 
125,16,1,2005-06-25,$35.00 
126,24,1,2005-06-24,$35.00 
127,8,1,2005-06-19,$35.00 
128,2,1,2005-06-11,$35.00 
129,10,1,2005-06-05,$40.00 
130,18,1,2005-05-28,$35.00 
131,3,1,2005-06-27,$35.00 
132,11,1,2005-06-14,$35.00 
133,19,1,2005-06-24,$40.00 
134,12,1,2005-06-10,$35.00 
